timestamp,page_type,url,run,load_time_ms
2025-10-14T16:33:15.000000,Coach_Detail_Batch1_FK_Indexes,http://localhost:5000/coaches/1,2,2095
2025-10-14T16:33:30.000000,Coach_Detail_Batch1_FK_Indexes,http://localhost:5000/coaches/1,3,1994
2025-10-14T16:34:00.000000,Team_Main_Batch1_FK_Indexes,http://localhost:5000/teams/,1,1986
2025-10-14T16:34:15.000000,Team_Main_Batch1_FK_Indexes,http://localhost:5000/teams/,2,2033
2025-10-14T16:34:30.000000,Team_Main_Batch1_FK_Indexes,http://localhost:5000/teams/,3,1986
2025-10-14T16:35:00.000000,Team_Detail_Batch1_FK_Indexes,http://localhost:5000/teams/1,1,972
2025-10-14T16:35:15.000000,Team_Detail_Batch1_FK_Indexes,http://localhost:5000/teams/1,2,916
2025-10-14T16:35:30.000000,Team_Detail_Batch1_FK_Indexes,http://localhost:5000/teams/1,3,876
2025-10-14T16:36:00.000000,Team_Year_Batch1_FK_Indexes,http://localhost:5000/teams/1/1962,1,2137
2025-10-14T16:36:15.000000,Team_Year_Batch1_FK_Indexes,http://localhost:5000/teams/1/1962,2,2242
2025-10-14T16:36:30.000000,Team_Year_Batch1_FK_Indexes,http://localhost:5000/teams/1/1962,3,2110
2025-10-14T17:00:00.000000,Front_Batch2_Player_Stats,http://localhost:5000/,1,4047
2025-10-14T17:00:15.000000,Front_Batch2_Player_Stats,http://localhost:5000/,2,3982
2025-10-14T17:00:30.000000,Front_Batch2_Player_Stats,http://localhost:5000/,3,4129
2025-10-14T17:01:00.000000,Player_Detail_Batch2_Player_Stats,http://localhost:5000/players/15,1,3997
2025-10-14T17:01:15.000000,Player_Detail_Batch2_Player_Stats,http://localhost:5000/players/15,2,4078
2025-10-14T17:01:30.000000,Player_Detail_Batch2_Player_Stats,http://localhost:5000/players/15,3,4074
2025-10-14T17:02:00.000000,Coach_Main_Batch2_Player_Stats,http://localhost:5000/coaches/,1,9109
2025-10-14T17:02:15.000000,Coach_Main_Batch2_Player_Stats,http://localhost:5000/coaches/,2,8548
2025-10-14T17:02:30.000000,Coach_Main_Batch2_Player_Stats,http://localhost:5000/coaches/,3,8569
2025-10-14T17:03:00.000000,Team_Detail_Batch2_Player_Stats,http://localhost:5000/teams/1,1,917
2025-10-14T17:03:15.000000,Team_Detail_Batch2_Player_Stats,http://localhost:5000/teams/1,2,829
2025-10-14T17:03:30.000000,Team_Detail_Batch2_Player_Stats,http://localhost:5000/teams/1,3,974
2025-10-14T17:30:00.000000,Front_Phase1_Complete,http://localhost:5000/,1,3971
2025-10-14T17:30:15.000000,Front_Phase1_Complete,http://localhost:5000/,2,3875
2025-10-14T17:30:30.000000,Front_Phase1_Complete,http://localhost:5000/,3,3943
2025-10-14T17:31:00.000000,Player_Detail_Phase1_Complete,http://localhost:5000/players/15,1,4002
2025-10-14T17:31:15.000000,Player_Detail_Phase1_Complete,http://localhost:5000/players/15,2,4427
2025-10-14T17:31:30.000000,Player_Detail_Phase1_Complete,http://localhost:5000/players/15,3,3928
2025-10-14T17:32:00.000000,Coach_Main_Phase1_Complete,http://localhost:5000/coaches/,1,8476
2025-10-14T17:32:15.000000,Coach_Main_Phase1_Complete,http://localhost:5000/coaches/,2,8433
2025-10-14T17:32:30.000000,Coach_Main_Phase1_Complete,http://localhost:5000/coaches/,3,8808
2025-10-14T17:33:00.000000,Team_Main_Phase1_Complete,http://localhost:5000/teams/,1,2180
2025-10-14T17:33:15.000000,Team_Main_Phase1_Complete,http://localhost:5000/teams/,2,2171
2025-10-14T17:33:30.000000,Team_Main_Phase1_Complete,http://localhost:5000/teams/,3,2118
2025-10-14T17:34:00.000000,Team_Detail_Phase1_Complete,http://localhost:5000/teams/1,1,853
2025-10-14T17:34:15.000000,Team_Detail_Phase1_Complete,http://localhost:5000/teams/1,2,869
2025-10-14T17:34:30.000000,Team_Detail_Phase1_Complete,http://localhost:5000/teams/1,3,956
2025-10-14T18:00:00.000000,Coach_Main_Phase1B_N+1_Fix,http://localhost:5000/coaches/,1,2311
2025-10-14T18:00:15.000000,Coach_Main_Phase1B_N+1_Fix,http://localhost:5000/coaches/,2,1952
2025-10-14T18:00:30.000000,Coach_Main_Phase1B_N+1_Fix,http://localhost:5000/coaches/,3,2043
2025-10-14T19:01:00.000000,Front_Phase2_Task1_IndexCleanup,http://localhost:5000/,1,3862
2025-10-14T19:01:15.000000,Front_Phase2_Task1_IndexCleanup,http://localhost:5000/,2,3882
2025-10-14T19:01:30.000000,Front_Phase2_Task1_IndexCleanup,http://localhost:5000/,3,3872
